title,url
Accepting Apple Pay with WooCommerce Payments,https://woocommerce.com/document/woocommerce-payments/payment-methods/apple-pay/
What is the difference between a scheduled deposit and instant deposit?,https://woocommerce.com/document/woocommerce-payments/deposits/scheduled-deposit-vs-instant-deposit/
WooCommerce In-Person Payments Quick Start Guide - Canada Merchants,https://woocommerce.com/document/woocommerce-in-person-payments-quick-start-guide-canada-merchants/
WooCommerce Payments: Customization & Translation,https://woocommerce.com/document/woocommerce-payments/customization-and-translation/
WooCommerce Payments: Testing & Troubleshooting,https://woocommerce.com/document/woocommerce-payments/testing-and-troubleshooting/
WooCommerce Payments + Stripe Capital,https://woocommerce.com/document/woocommerce-payments-stripe-capital/
Instant Deposits with WooCommerce Payments,https://woocommerce.com/document/payments/instant-deposits/
WooCommerce Payments: Link by Stripe,https://woocommerce.com/document/woocommerce-payments/payment-methods/link-by-stripe/
WooCommerce Payments: Subscriptions,https://woocommerce.com/document/woocommerce-payments/built-in-subscriptions/
Connecting to WordPress.com with WooCommerce Payments,https://woocommerce.com/document/payments/connection/
Translations (Localization),https://woocommerce.com/document/woocommerce-payments/customization-and-translation/translations/
Can I change the title and description of the payment gateway shown during checkout?,https://woocommerce.com/document/woocommerce-payments/customization-and-translation/change-title-in-checkout/
Comparing subscription options,https://woocommerce.com/document/payments/subscriptions-basics/comparison/
"WooCommerce Payments: ""Know Your Customer""",https://woocommerce.com/document/woocommerce-payments/our-policies/woocommerce-payments-know-your-customer/
How do I change my business type?,https://woocommerce.com/document/woocommerce-payments/account-management/change-business-type/
Can I sell CBD and Other Hemp-Derived Products with WooCommerce Payments?,https://woocommerce.com/document/woocommerce-payments/our-policies/cbd/
Moving from WooCommerce Subscriptions to the WooCommerce Payments subscriptions functionality,https://woocommerce.com/document/payments/subscriptions-basics/moving-from-the-woocommerce-subscriptions-extension/
Does WooCommerce Payments support Pre-Orders?,https://woocommerce.com/document/woocommerce-payments/compatibility/pre-orders/
What happens to my subscriptions if I disable the WooCommerce Payments gateway?,https://woocommerce.com/document/woocommerce-payments/built-in-subscriptions/disable-gateway/
Does WooCommerce Payments support Subscriptions and recurring payments?,https://woocommerce.com/document/woocommerce-payments/built-in-subscriptions/subscriptions/
What are the fees for WooCommerce Payments?,https://woocommerce.com/document/woocommerce-payments/fees-and-debits/fees/
Upgrading to the Subscriptions extension from the WooCommerce Payments built-in subscriptions,https://woocommerce.com/document/payments/subscriptions-basics/upgrading-to-subscriptions/
Does WooCommerce Payments have any fraud prevention enabled?,https://woocommerce.com/document/woocommerce-payments/fraud-and-disputes/fraud-prevention/
Preventing Disputes with WooCommerce Payments,https://woocommerce.com/document/payments/preventing-disputes-with-woocommerce-payments/
How do I sign up for Stripe using the same email as my WooCommerce Payments account?,https://woocommerce.com/document/woocommerce-payments/account-management/sign-up-for-stripe-same-email/
Additional payment methods,https://woocommerce.com/document/payments/additional-payment-methods/
WooCommerce Payments: Fees & Debits,https://woocommerce.com/document/woocommerce-payments/fees-and-debits/
Deposit currencies,https://woocommerce.com/document/payments/currencies/multiple-deposit-currencies/
WooCommerce Payments built in partnership with Stripe,https://woocommerce.com/document/payments/built-in-partnership-with-stripe/
Do I need WooCommerce Payments for all other payment gateways?,https://woocommerce.com/document/woocommerce-payments/compatibility/need-woocommerce-payments-for-other-gateways/
How do I respond to card testing attacks?,https://woocommerce.com/document/woocommerce-payments/fraud-and-disputes/card-testing/
Why is there a charge from WooPay.id on my credit card?,https://woocommerce.com/document/woopay-statement-descriptor/
Why aren’t fees refunded when I refund a charge with WooCommerce Payments?,https://woocommerce.com/document/woocommerce-payments/fees-and-debits/why-arent-fees-refunded/
Requirements and recommendations for bank statement descriptor,https://woocommerce.com/document/payments/bank-statement-descriptor/
Stripe Capital FAQ,https://woocommerce.com/document/stripe-capital-faq/
Multi-Currency with WooCommerce Payments,https://woocommerce.com/document/woocommerce-payments/currencies/multi-currency-setup/
WooCommerce Payments: Taxes,https://woocommerce.com/document/woocommerce-payments/taxes/
Can I migrate my information between accounts?,https://woocommerce.com/document/woocommerce-payments/account-management/migrate-information-between-accounts/
WooCommerce In-Person Payments Quick Start Guide,https://woocommerce.com/document/payments/woocommerce-in-person-payments-quick-start-guide/
Testing WooCommerce Payments,https://woocommerce.com/document/woocommerce-payments/testing-and-troubleshooting/testing/
WooCommerce Payments in Your Country,https://woocommerce.com/document/woocommerce-payments/compatibility/countries/
WooCommerce Payments: Currencies,https://woocommerce.com/document/woocommerce-payments/currencies/
Deactivating WooCommerce Subscriptions with WooCommerce Payments active,https://woocommerce.com/document/subscriptions/deactivation/
WooCommerce Payments Safe Mode,https://woocommerce.com/document/woocommerce-payments/testing-and-troubleshooting/safe-mode/
What happens to my subscriptions if I deactivate the WooCommerce Payments plugin?,https://woocommerce.com/document/woocommerce-payments/built-in-subscriptions/deactivate/
How do I change my deposit schedule?,https://woocommerce.com/document/woocommerce-payments/deposits/change-deposit-schedule/
Can I use WooCommerce Payments and the Stripe plugin at the same time?,https://woocommerce.com/document/can-i-use-woocommerce-payments-and-the-stripe-plugin-at-the-same-time/
Why does Stripe say that my account is linked to a business that works with Stripe?,https://woocommerce.com/document/woocommerce-payments/account-management/stripe-account-linked-to-business/
WooCommerce Payments: In-Person Payments,https://woocommerce.com/document/woocommerce-payments/in-person-payments/
WooCommerce Payments: Payment Methods,https://woocommerce.com/document/woocommerce-payments/payment-methods/
Subscriptions with WooCommerce Payments,https://woocommerce.com/document/payments/subscriptions-basics/
Im a developer or agency. How can I set up WooCommerce Payments for my client?,https://woocommerce.com/document/woocommerce-payments/account-management/developer-or-agency-setup/
Is WooCommerce Payments compatible with High-Performance Order Storage?,https://woocommerce.com/document/woocommerce-payments/compatibility/high-performance-order-storage-compatibility/
Why is my account showing a negative balance?,https://woocommerce.com/document/woocommerce-payments/fees-and-debits/account-showing-negative-balance/
WooCommerce Payments: Startup Guide,https://woocommerce.com/document/payments/
WooCommerce Payments: Stripe Capital,https://woocommerce.com/document/woocommerce-payments/stripe-capital/
What foreign exchange fees are charged with WooCommerce Payments?,https://woocommerce.com/document/woocommerce-payments/fees-and-debits/currency-conversion-fees/
