title,url,targetElement
WooCommerce Payments Pricing - Australia,https://woocommerce.com/payments/australia/,marketing-page
WooCommerce Payments Pricing - Austria,https://woocommerce.com/payments/austria,marketing-page
WooCommerce Payments Pricing - Belgium,https://woocommerce.com/payments/belgium,marketing-page
WooCommerce Payments Pricing - Canada,https://woocommerce.com/payments/canada,marketing-page
WooCommerce Payments Pricing - France,https://woocommerce.com/payments/france,marketing-page
WooCommerce Payments Pricing - Germany,https://woocommerce.com/payments/germany,marketing-page
WooCommerce Payments Pricing - Hong Kong,https://woocommerce.com/payments/hong-kong,marketing-page
WooCommerce Payments Pricing - Ireland,https://woocommerce.com/payments/ireland,marketing-page
WooCommerce Payments Pricing - Italy,https://woocommerce.com/payments/italy,marketing-page
WooCommerce Payments Pricing - Netherlands,https://woocommerce.com/payments/netherlands,marketing-page
WooCommerce Payments Pricing - New Zealand,https://woocommerce.com/payments/new-zealand,marketing-page
WooCommerce Payments Pricing - Poland,https://woocommerce.com/payments/poland,marketing-page
WooCommerce Payments Pricing - Portugal,https://woocommerce.com/payments/portugal,marketing-page
WooCommerce Payments Pricing - Singapore,https://woocommerce.com/payments/singapore,marketing-page
WooCommerce Payments Pricing - Spain,https://woocommerce.com/payments/spain,marketing-page
WooCommerce Payments Pricing - Switzerland,https://woocommerce.com/payments/switzerland,marketing-page
WooCommerce Payments Pricing - United Kingdom,https://woocommerce.com/payments/united-kingdom,marketing-page
WooCommerce Payments Pricing - United States,https://woocommerce.com/payments/united-states,marketing-page
